;T;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t
98;585;-1816006.805;-1816006.805;-1816006.805;-1816006.805;-1816006.805;-1816006.805;-1816006.805;-1816006.805;-1816006.805;-1816006.805;-1816006.805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;590;-1816010.41;-1816010.41;-1816010.41;-1816010.41;-1816010.41;-1816010.41;-1816010.41;-1816010.41;-1816010.41;-1816010.41;-1816010.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;595;-1816014.032;-1816014.032;-1816014.032;-1816014.032;-1816014.032;-1816014.032;-1816014.032;-1816014.032;-1816014.032;-1816014.032;-1816014.032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;600;-1816017.672;-1816017.672;-1816017.672;-1816017.672;-1816017.672;-1816017.672;-1816017.672;-1816017.672;-1816017.672;-1816017.672;-1816017.672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;605;-1816021.329;-1816021.329;-1816021.329;-1816021.329;-1816021.329;-1816021.329;-1816021.329;-1816021.329;-1816021.329;-1816021.329;-1816021.329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;610;-1816025.004;-1816025.004;-1816025.004;-1816025.004;-1816025.004;-1816025.004;-1816025.004;-1816025.004;-1816025.004;-1816025.004;-1816025.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;615;-1816028.697;-1816028.697;-1816028.697;-1816028.697;-1816028.697;-1816028.697;-1816028.697;-1816028.697;-1816028.697;-1816028.697;-1816028.697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;620;-1816032.407;-1816032.407;-1816032.407;-1816032.407;-1816032.407;-1816032.407;-1816032.407;-1816032.407;-1816032.407;-1816032.407;-1816032.407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;625;-1816036.134;-1816036.134;-1816036.134;-1816036.134;-1816036.134;-1816036.134;-1816036.134;-1816036.134;-1816036.134;-1816036.134;-1816036.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;630;-1816039.878;-1816039.878;-1816039.878;-1816039.878;-1816039.878;-1816039.878;-1816039.878;-1816039.878;-1816039.878;-1816039.878;-1816039.878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
