,T,101_t,104_t,118_t,12_t,1_t,34_t,38_t,52_t,60_t,62_t,96_t
135,770.00,-1816151.534,-1816139.676,-1816161.587,-1816142.686,-1816146.901,-1816147.246,-1816145.199,-1816145.846,-1816167.541,-1816151.749,-1816150.610
136,775.00,-1816155.758,-1816143.857,-1816165.762,-1816146.900,-1816151.016,-1816151.476,-1816149.392,-1816150.064,-1816171.759,-1816155.975,-1816154.829
137,780.00,-1816159.998,-1816148.055,-1816169.952,-1816151.129,-1816155.147,-1816155.722,-1816153.600,-1816154.297,-1816175.994,-1816160.216,-1816159.064
138,785.00,-1816164.253,-1816152.268,-1816174.158,-1816155.374,-1816159.294,-1816159.983,-1816157.825,-1816158.547,-1816180.243,-1816164.474,-1816163.316
139,790.00,-1816168.524,-1816156.497,-1816178.380,-1816159.635,-1816163.456,-1816164.260,-1816162.064,-1816162.812,-1816184.509,-1816168.747,-1816167.582
140,795.00,-1816172.811,-1816160.742,-1816182.617,-1816163.911,-1816167.634,-1816168.553,-1816166.320,-1816167.092,-1816188.790,-1816173.036,-1816171.865
141,800.00,-1816177.113,-1816165.002,-1816186.870,-1816168.203,-1816171.828,-1816172.861,-1816170.591,-1816171.388,-1816193.087,-1816177.340,-1816176.163
142,805.00,-1816181.431,-1816169.278,-1816191.138,-1816172.511,-1816176.037,-1816177.185,-1816174.878,-1816175.700,-1816197.399,-1816181.660,-1816180.476
143,810.00,-1816185.764,-1816173.569,-1816195.422,-1816176.834,-1816180.261,-1816181.525,-1816179.180,-1816180.027,-1816201.726,-1816185.995,-1816184.805
144,815.00,-1816190.113,-1816177.876,-1816199.722,-1816181.172,-1816184.501,-1816185.879,-1816183.498,-1816184.370,-1816206.069,-1816190.346,-1816189.150
145,820.00,-1816194.477,-1816182.198,-1816204.036,-1816185.526,-1816188.757,-1816190.249,-1816187.831,-1816188.728,-1816210.428,-1816194.713,-1816193.509
146,825.00,-1816198.857,-1816186.536,-1816208.366,-1816189.895,-1816193.028,-1816194.635,-1816192.179,-1816193.101,-1816214.802,-1816199.094,-1816197.885
147,830.00,-1816203.251,-1816190.889,-1816212.711,-1816194.280,-1816197.314,-1816199.036,-1816196.543,-1816197.490,-1816219.191,-1816203.491,-1816202.275
148,835.00,-1816207.662,-1816195.257,-1816217.072,-1816198.679,-1816201.615,-1816203.452,-1816200.922,-1816201.894,-1816223.595,-1816207.903,-1816206.681
149,840.00,-1816212.087,-1816199.640,-1816221.448,-1816203.094,-1816205.931,-1816207.883,-1816205.316,-1816206.313,-1816228.014,-1816212.330,-1816211.102
150,845.00,-1816216.527,-1816204.038,-1816225.839,-1816207.524,-1816210.263,-1816212.329,-1816209.725,-1816210.748,-1816232.449,-1816216.773,-1816215.538
151,850.00,-1816220.983,-1816208.452,-1816230.244,-1816211.969,-1816214.610,-1816216.791,-1816214.149,-1816215.197,-1816236.899,-1816221.230,-1816219.989
152,855.00,-1816225.453,-1816212.881,-1816234.666,-1816216.430,-1816218.971,-1816221.268,-1816218.589,-1816219.662,-1816241.364,-1816225.703,-1816224.456
153,860.00,-1816229.939,-1816217.324,-1816239.102,-1816220.905,-1816223.348,-1816225.759,-1816223.043,-1816224.141,-1816245.843,-1816230.191,-1816228.937
154,865.00,-1816234.440,-1816221.783,-1816243.552,-1816225.395,-1816227.740,-1816230.266,-1816227.513,-1816228.636,-1816250.338,-1816234.693,-1816233.433
155,870.00,-1816238.955,-1816226.257,-1816248.018,-1816229.900,-1816232.147,-1816234.787,-1816231.997,-1816233.145,-1816254.848,-1816239.211,-1816237.945
156,875.00,-1816243.486,-1816230.745,-1816252.499,-1816234.420,-1816236.568,-1816239.324,-1816236.497,-1816237.669,-1816259.372,-1816243.743,-1816242.471
157,880.00,-1816248.031,-1816235.248,-1816256.995,-1816238.955,-1816241.004,-1816243.875,-1816241.011,-1816242.209,-1816263.912,-1816248.291,-1816247.012
158,885.00,-1816252.591,-1816239.766,-1816261.505,-1816243.505,-1816245.456,-1816248.441,-1816245.540,-1816246.762,-1816268.466,-1816252.853,-1816251.567
159,890.00,-1816257.166,-1816244.299,-1816266.030,-1816248.069,-1816249.922,-1816253.022,-1816250.083,-1816251.331,-1816273.035,-1816257.429,-1816256.138
160,895.00,-1816261.756,-1816248.847,-1816270.570,-1816252.648,-1816254.402,-1816257.617,-1816254.642,-1816255.915,-1816277.618,-1816262.021,-1816260.723
161,900.00,-1816266.360,-1816253.409,-1816275.124,-1816257.242,-1816258.897,-1816262.227,-1816259.215,-1816260.513,-1816282.216,-1816266.627,-1816265.323
162,905.00,-1816270.979,-1816257.986,-1816279.693,-1816261.851,-1816263.407,-1816266.852,-1816263.803,-1816265.125,-1816286.829,-1816271.248,-1816269.938
163,910.00,-1816275.612,-1816262.577,-1816284.277,-1816266.474,-1816267.932,-1816271.491,-1816268.405,-1816269.752,-1816291.456,-1816275.883,-1816274.567
164,915.00,-1816280.260,-1816267.183,-1816288.875,-1816271.111,-1816272.470,-1816276.145,-1816273.022,-1816274.394,-1816296.098,-1816280.533,-1816279.210
